,base_times,PCA90_times,PCA95_times,PCA99_times
Q1,0.664112,336.920364,391.406803,469.503053
Q2,0.597309,367.008624,433.794225,611.842755
Q3,0.585696,333.111268,379.33695,478.892724
Q4,0.599547,328.040484,400.874488,490.595437
Q5,0.683147,437.708614,508.3208,620.854077
Q6,0.667909,286.475251,461.115918,448.367959
Q7,0.594571,315.4961,366.243251,488.195946
Q8,0.601752,437.999669,504.057016,629.516116
Q9,0.578084,326.49916,386.872182,516.890855
Q10,0.582821,395.383877,458.692501,537.583528
Q11,0.577664,377.961355,365.923003,560.428509
Q12,0.595738,317.997803,366.994608,472.306944
Q13,0.601265,320.056013,393.483943,442.054961
Q14,0.58231,341.433866,411.269738,502.017473
Q15,0.573203,408.912894,524.503913,587.082341
Q16,0.586726,490.919326,597.492539,707.762459
Q17,0.586235,531.43854,598.873602,729.100326
